[springmvc_mybatis_demo][INFO] [2017-05-16 16:38:13] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:13] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Tue May 16 16:38:13 CST 2017]; root of context hierarchy
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:13] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [jar:file:/C:/Users/FangNa/.m2/repository/com/study/school-biz/1.0-SNAPSHOT/school-biz-1.0-SNAPSHOT.jar!/spring.xml]
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Tue May 16 16:38:27 CST 2017]; root of context hierarchy
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [jar:file:/C:/Users/FangNa/.m2/repository/com/study/school-biz/1.0-SNAPSHOT/school-biz-1.0-SNAPSHOT.jar!/spring.xml]
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.web.context.ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 395 ms
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.web.servlet.FrameworkServlet.initServletBean(484) | FrameworkServlet 'rest': initialization started
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'rest-servlet': startup date [Tue May 16 16:38:27 CST 2017]; parent: Root WebApplicationContext
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mvc.xml]
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:27] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
  [springmvc_mybatis_demo][INFO] [2017-05-16 16:38:28] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'rest': initialization completed in 405 ms
  
